model_key,family,params_b,tuning,tier,conflict_type,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,sum_logprob,320.0,1.4645114030851498,1.2985869846716347,1.6342210520757348,0.859375,17.048117538371212,8.804025636598639e-47
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,mean_logprob,320.0,1.3594103585039796,1.2078890375998719,1.512140936712938,0.853125,17.334621568951537,6.770570916078099e-48
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,4.026529975658006,3.7136456566914497,4.342693912296521,0.9930555555555556,24.599996330292953,3.0535039478247587e-53
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,mean_logprob,144.0,4.026529975658006,3.7136456566914497,4.342693912296521,0.9930555555555556,24.599996330292953,3.0535039478247587e-53
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,sum_logprob,120.0,2.6894531084845466,2.324365730801235,3.0610601066050327,0.9416666666666667,14.40692524576681,7.480248961043844e-28
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,mean_logprob,120.0,2.6894531084845466,2.324365730801235,3.0610601066050327,0.9416666666666667,14.40692524576681,7.480248961043844e-28
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,domain_definition_remapping,sum_logprob,120.0,2.1538411971595557,1.8341966067518418,2.4833002729175817,0.9583333333333334,13.333160505897832,2.280032526878144e-25
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,domain_definition_remapping,mean_logprob,120.0,2.1538411971595557,1.8341966067518418,2.4833002729175817,0.9583333333333334,13.333160505897832,2.280032526878144e-25
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,antonym_remapping,sum_logprob,320.0,1.6877920978543977,1.2719015075266926,2.0851408997867567,0.740625,8.021183626815601,2.013000636435056e-14
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,antonym_remapping,mean_logprob,320.0,1.471422064816701,1.092712943250794,1.841874180498806,0.73125,7.42793392851517,1.016739000608393e-12
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,4.720984340541893,4.1407094794566985,5.309033336945706,0.9375,15.954211803663403,1.4780885619049599e-33
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,arbitrary_semantic_remapping,mean_logprob,144.0,4.720984340541893,4.1407094794566985,5.309033336945706,0.9375,15.954211803663403,1.4780885619049599e-33
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,polysemy_entity_remapping,sum_logprob,120.0,2.4105018132262757,1.8762119305464955,2.9759351858827805,0.8166666666666667,8.82631793834084,1.112226508063678e-14
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,polysemy_entity_remapping,mean_logprob,120.0,2.4105018132262757,1.8762119305464955,2.9759351858827805,0.8166666666666667,8.82631793834084,1.112226508063678e-14
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,domain_definition_remapping,sum_logprob,120.0,2.5421454436249205,1.9260667718450228,3.2007409103711453,0.7666666666666667,7.622876272441388,6.6531050600098476e-12
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,domain_definition_remapping,mean_logprob,120.0,2.5421454436249205,1.9260667718450228,3.2007409103711453,0.7666666666666667,7.622876272441388,6.6531050600098476e-12
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,antonym_remapping,sum_logprob,320.0,1.211469520830239,0.8585025529650739,1.5724374984928484,0.696875,6.896044636502938,2.876508228708112e-11
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,antonym_remapping,mean_logprob,320.0,1.1114701968850569,0.7568164476014984,1.4675955860734393,0.684375,6.346333756180248,7.561230316649601e-10
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,2.0547509730138156,1.3718554803860132,2.7718240632399644,0.7013888888888888,5.768446604524349,4.7577151266880264e-08
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,arbitrary_semantic_remapping,mean_logprob,144.0,2.0547509730138156,1.3718554803860132,2.7718240632399644,0.7013888888888888,5.768446604524349,4.7577151266880264e-08
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,polysemy_entity_remapping,sum_logprob,120.0,1.808707356121805,1.1438401924818755,2.423459649110834,0.7083333333333334,5.464776341295251,2.5874721202333984e-07
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,polysemy_entity_remapping,mean_logprob,120.0,1.808707356121805,1.1438401924818755,2.423459649110834,0.7083333333333334,5.464776341295251,2.5874721202333984e-07
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,domain_definition_remapping,sum_logprob,120.0,2.278143432074123,1.5561725742949382,2.979442303478718,0.75,6.301910072876009,5.156412707155741e-09
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,domain_definition_remapping,mean_logprob,120.0,2.278143432074123,1.5561725742949382,2.979442303478718,0.75,6.301910072876009,5.156412707155741e-09
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,antonym_remapping,sum_logprob,320.0,0.5541768753792894,0.1716363506687486,0.927475756594219,0.634375,2.8760368854340324,0.004298040170296429
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,antonym_remapping,mean_logprob,320.0,0.5419267562163894,0.16069749680605044,0.9125191413775794,0.628125,2.825174409348347,0.0050231885016996285
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,6.333357173535559,5.361790513233454,7.305604109623366,0.9444444444444444,12.880271917525034,1.0973818265319333e-25
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,arbitrary_semantic_remapping,mean_logprob,144.0,6.333357173535559,5.361790513233454,7.305604109623366,0.9444444444444444,12.880271917525034,1.0973818265319333e-25
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,polysemy_entity_remapping,sum_logprob,120.0,3.042858140998417,2.3609793000088795,3.7627340934011677,0.8,8.393402981198014,1.138719681154883e-13
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,polysemy_entity_remapping,mean_logprob,120.0,3.042858140998417,2.3609793000088795,3.7627340934011677,0.8,8.393402981198014,1.138719681154883e-13
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,domain_definition_remapping,sum_logprob,120.0,2.873524659872055,2.12084795711769,3.666436827944384,0.7916666666666666,7.170161471918177,6.861631991110254e-11
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,domain_definition_remapping,mean_logprob,120.0,2.873524659872055,2.12084795711769,3.666436827944384,0.7916666666666666,7.170161471918177,6.861631991110254e-11
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,antonym_remapping,sum_logprob,320.0,2.116596371192903,1.9191593004831558,2.300126980825575,0.921875,21.672938006657922,1.1404645120740889e-64
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,antonym_remapping,mean_logprob,320.0,1.8104796039126945,1.6343063029010387,1.9839628354742094,0.90625,20.303021489816874,2.0547839223921444e-59
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,3.068341293958602,2.7885227032454205,3.331843632128504,0.9652777777777778,22.044568553237003,7.646783346078727e-48
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,arbitrary_semantic_remapping,mean_logprob,144.0,3.068341293958602,2.7885227032454205,3.331843632128504,0.9652777777777778,22.044568553237003,7.646783346078727e-48
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,sum_logprob,120.0,2.447157139910592,2.18397409365409,2.6984304534312753,1.0,18.786087343267045,2.114384922649811e-37
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,mean_logprob,120.0,2.447157139910592,2.18397409365409,2.6984304534312753,1.0,18.786087343267045,2.114384922649811e-37
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,sum_logprob,120.0,2.0571723320417936,1.8050822302657696,2.310508126525415,0.9583333333333334,15.910136749017353,3.0464767699171065e-31
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,mean_logprob,120.0,2.0571723320417936,1.8050822302657696,2.310508126525415,0.9583333333333334,15.910136749017353,3.0464767699171065e-31
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,sum_logprob,320.0,2.2382327689253394,2.02421837315538,2.457222825267102,0.90625,20.321621958676495,1.7419986221719589e-59
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,mean_logprob,320.0,2.111921616294093,1.9110140510977904,2.320604443823677,0.9,20.213020926142246,4.56988958972237e-59
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,sum_logprob,144.0,4.092634278297838,3.7925886040915637,4.388912620237184,1.0,26.209688875846037,1.8128062796960247e-56
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,mean_logprob,144.0,4.092634278297838,3.7925886040915637,4.388912620237184,1.0,26.209688875846037,1.8128062796960247e-56
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,sum_logprob,120.0,2.7827147177937954,2.4165038499753506,3.159150502139496,0.9333333333333333,14.52669823215949,3.9798761405398084e-28
qwen25_7b_base,Qwen,7.0,base,large_7b,polysemy_entity_remapping,mean_logprob,120.0,2.7827147177937954,2.4165038499753506,3.159150502139496,0.9333333333333333,14.52669823215949,3.9798761405398084e-28
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,sum_logprob,120.0,2.20522004444566,1.9030778018902574,2.5362102220248848,0.8916666666666667,13.56810656141891,6.463483265206212e-26
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,mean_logprob,120.0,2.20522004444566,1.9030778018902574,2.5362102220248848,0.8916666666666667,13.56810656141891,6.463483265206212e-26
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,sum_logprob,320.0,0.41900670159140513,-0.019617096721428386,0.8382096467386236,0.603125,1.9494011842009855,0.05212359748860411
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,mean_logprob,320.0,0.36207990689169955,-0.05287669780204807,0.7619396638630115,0.596875,1.7775976772632243,0.07642258815248353
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,sum_logprob,144.0,2.3953719522666046,1.9419449869405336,2.848456192140778,0.8472222222222222,10.404447465497933,3.1703541992997927e-19
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,mean_logprob,144.0,2.3953719522666046,1.9419449869405336,2.848456192140778,0.8472222222222222,10.404447465497933,3.1703541992997927e-19
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,sum_logprob,120.0,3.385931040181054,2.5539542173014746,4.254996950179339,0.85,7.881244507519315,1.721490083771456e-12
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,polysemy_entity_remapping,mean_logprob,120.0,3.385931040181054,2.5539542173014746,4.254996950179339,0.85,7.881244507519315,1.721490083771456e-12
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,sum_logprob,120.0,2.7269205186102123,2.043557375305229,3.4376778287026615,0.775,7.567695797941929,8.864188293226586e-12
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,domain_definition_remapping,mean_logprob,120.0,2.7269205186102123,2.043557375305229,3.4376778287026615,0.775,7.567695797941929,8.864188293226586e-12
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,sum_logprob,320.0,1.4582441019437584,1.1494742584395379,1.7554042996049006,0.721875,9.614981797721144,2.191608089489203e-19
gemma2_9b_base,Gemma,9.0,base,large_7b9b,antonym_remapping,mean_logprob,320.0,1.4580778434212938,1.164018876727399,1.7413906589880934,0.7125,9.898417735337144,2.5488966664643928e-20
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,sum_logprob,144.0,3.562065137205301,3.0934221782204174,4.054316420466812,0.9236111111111112,14.683685790544294,2.4154366278846063e-30
gemma2_9b_base,Gemma,9.0,base,large_7b9b,arbitrary_semantic_remapping,mean_logprob,144.0,3.562065137205301,3.0934221782204174,4.054316420466812,0.9236111111111112,14.683685790544294,2.4154366278846063e-30
gemma2_9b_base,Gemma,9.0,base,large_7b9b,polysemy_entity_remapping,sum_logprob,120.0,2.498510593507025,1.9944766269955372,2.974079963879453,0.8333333333333334,10.089986083558172,1.1309805118066985e-17
gemma2_9b_base,Gemma,9.0,base,large_7b9b,polysemy_entity_remapping,mean_logprob,120.0,2.498510593507025,1.9944766269955372,2.974079963879453,0.8333333333333334,10.089986083558172,1.1309805118066985e-17
gemma2_9b_base,Gemma,9.0,base,large_7b9b,domain_definition_remapping,sum_logprob,120.0,3.0232678054107556,2.5551947168798907,3.4902071330034077,0.9083333333333333,12.494669469719295,2.1250662230507477e-23
gemma2_9b_base,Gemma,9.0,base,large_7b9b,domain_definition_remapping,mean_logprob,120.0,3.0232678054107556,2.5551947168798907,3.4902071330034077,0.9083333333333333,12.494669469719295,2.1250662230507477e-23
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,antonym_remapping,sum_logprob,320.0,-0.6319364263243699,-0.9982391042242201,-0.26396628400255123,0.3875,-3.509134281007077,0.0005142053461413414
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,antonym_remapping,mean_logprob,320.0,-0.6183161081685237,-0.9872081328223179,-0.24567713891485762,0.390625,-3.4319835379862083,0.0006781453719110156
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,arbitrary_semantic_remapping,sum_logprob,144.0,4.38424719594143,3.807874998477874,4.960641757274668,0.9444444444444444,14.880940256883306,7.583075405925903e-31
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,arbitrary_semantic_remapping,mean_logprob,144.0,4.38424719594143,3.807874998477874,4.960641757274668,0.9444444444444444,14.880940256883306,7.583075405925903e-31
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,polysemy_entity_remapping,sum_logprob,120.0,2.096400635772281,1.2845877519415485,2.967271642304129,0.7333333333333333,4.873143823119447,3.4237128489462205e-06
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,polysemy_entity_remapping,mean_logprob,120.0,2.096400635772281,1.2845877519415485,2.967271642304129,0.7333333333333333,4.873143823119447,3.4237128489462205e-06
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,domain_definition_remapping,sum_logprob,120.0,2.0033094306786854,1.19743620917201,2.830263489302662,0.675,4.728075161368391,6.279535756192959e-06
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,domain_definition_remapping,mean_logprob,120.0,2.0033094306786854,1.19743620917201,2.830263489302662,0.675,4.728075161368391,6.279535756192959e-06
mistral7b_base,Mistral,7.0,base,large_7b,antonym_remapping,sum_logprob,320.0,1.8663326802462508,1.6395286087357535,2.097976443562605,0.83125,16.255613823409774,1.0504757142906086e-43
mistral7b_base,Mistral,7.0,base,large_7b,antonym_remapping,mean_logprob,320.0,1.3336649421386735,1.1500622314584743,1.5276798336335868,0.796875,14.258593159058407,4.987364127218317e-36
mistral7b_base,Mistral,7.0,base,large_7b,arbitrary_semantic_remapping,sum_logprob,144.0,3.9406795082858377,3.650458406303259,4.219480465138783,0.9930555555555556,27.69057866813857,2.5296997954309083e-59
mistral7b_base,Mistral,7.0,base,large_7b,arbitrary_semantic_remapping,mean_logprob,144.0,3.8260325510987454,3.5334990970445013,4.101296360540428,0.9930555555555556,27.121997176203816,3.0680787292566105e-58
mistral7b_base,Mistral,7.0,base,large_7b,polysemy_entity_remapping,sum_logprob,120.0,3.3200991506740034,2.9365786547371604,3.7208465921753344,0.975,16.249255722016205,5.427141915251178e-32
mistral7b_base,Mistral,7.0,base,large_7b,polysemy_entity_remapping,mean_logprob,120.0,3.004488674486573,2.6534412201746207,3.3646181465187373,0.9666666666666667,15.972754149818128,2.2131332250466523e-31
mistral7b_base,Mistral,7.0,base,large_7b,domain_definition_remapping,sum_logprob,120.0,2.6670493499556973,2.2749490900777487,3.070934970287684,0.9416666666666667,12.885620603751182,2.548499431074999e-24
mistral7b_base,Mistral,7.0,base,large_7b,domain_definition_remapping,mean_logprob,120.0,2.347711717144638,1.982281967983937,2.7369916355485073,0.9333333333333333,12.04822679146273,2.422960724102619e-22
mistral7b_instruct,Mistral,7.0,instruct,large_7b,antonym_remapping,sum_logprob,320.0,0.3409030255684764,-0.18321129790723892,0.8914394159280326,0.43125,1.255120878051751,0.21035356434575106
mistral7b_instruct,Mistral,7.0,instruct,large_7b,antonym_remapping,mean_logprob,320.0,-0.593074461435408,-1.0220581906075514,-0.1495733797213166,0.371875,-2.720273192541444,0.006880404739833278
mistral7b_instruct,Mistral,7.0,instruct,large_7b,arbitrary_semantic_remapping,sum_logprob,144.0,5.059390924205943,4.160158454436398,5.968965906681808,0.8611111111111112,11.043381044263759,6.888506110368175e-21
mistral7b_instruct,Mistral,7.0,instruct,large_7b,arbitrary_semantic_remapping,mean_logprob,144.0,4.822522915503085,3.97311344051569,5.69964304904943,0.8958333333333334,11.119865198284453,4.3503755068273116e-21
mistral7b_instruct,Mistral,7.0,instruct,large_7b,polysemy_entity_remapping,sum_logprob,120.0,2.830951711449764,2.2991468931931465,3.375936583741879,0.825,10.545325848868778,9.264668588153828e-19
mistral7b_instruct,Mistral,7.0,instruct,large_7b,polysemy_entity_remapping,mean_logprob,120.0,2.5578055886330247,2.0624366528548803,3.0611086185570864,0.8416666666666667,10.140149377516101,8.58713483676734e-18
mistral7b_instruct,Mistral,7.0,instruct,large_7b,domain_definition_remapping,sum_logprob,120.0,3.4557314982886966,2.811763787534538,4.164983997850656,0.8416666666666667,9.759180515975945,6.937194919134153e-17
mistral7b_instruct,Mistral,7.0,instruct,large_7b,domain_definition_remapping,mean_logprob,120.0,3.195774201098872,2.5950785994856926,3.838807231838585,0.85,9.86640125072805,3.8555596192269214e-17
