model_key,model,item_id,word,target,distractor,neutral_word,hook_name,triplet_selected_layer,m_clean,m_corrupt,m_matched,m_swap_mean,matched_item_recovery,swap_item_recovery_mean,matched_minus_swap_margin,swap_below_matched_margin,n_swaps_per_item
qwen25_15b_base,qwen25_15b_base,0,small,big,tiny,marker,blocks.3.hook_resid_pre,3,10.089876174926758,6.494362831115723,10.304045677185059,-0.3665489196777344,1.059565782546997,-1.908186980477533,10.670594596862793,True,10
qwen25_15b_base,qwen25_15b_base,1,large,small,big,unit,blocks.3.hook_resid_pre,3,10.515905380249023,8.669569969177246,10.283549308776855,4.336669445037842,0.8741528391838074,-2.3467569858415938,5.946879863739014,True,10
qwen25_15b_base,qwen25_15b_base,2,hot,cold,warm,slot,blocks.3.hook_resid_pre,3,7.092912673950195,4.594486236572266,6.884215354919434,-0.23491296768188477,0.9164685010910034,-1.9329763454322673,7.119128322601318,True,10
qwen25_15b_base,qwen25_15b_base,3,cold,hot,chilly,form,blocks.3.hook_resid_pre,3,12.19146728515625,9.978981018066406,11.812416076660156,2.8382315158843996,0.8286763429641724,-3.227477434955775,8.974184560775758,True,10
qwen25_15b_base,qwen25_15b_base,5,sad,happy,unhappy,shape,blocks.3.hook_resid_pre,3,8.76699161529541,7.745124816894531,8.745519638061523,4.141282105445862,0.9789875149726868,-3.526724536983028,4.604237532615661,True,10
qwen25_15b_base,qwen25_15b_base,6,fast,slow,quick,step,blocks.3.hook_resid_pre,3,8.877756118774414,8.393024444580078,8.814040184020996,-0.8137897968292236,0.8685542345046997,-18.993630355828895,9.627829980850219,True,10
qwen25_15b_base,qwen25_15b_base,7,slow,fast,sluggish,label,blocks.3.hook_resid_pre,3,13.73853874206543,11.971363067626953,13.717226028442383,3.263108992576599,0.9879396557807922,-4.927780639475709,10.454117035865783,True,10
qwen25_15b_base,qwen25_15b_base,8,bright,dark,shiny,symbol,blocks.3.hook_resid_pre,3,11.335858345031738,10.95973014831543,11.183833122253418,1.5216487884521483,0.5958154201507568,-25.092724880134078,9.66218433380127,True,10
qwen25_15b_base,qwen25_15b_base,9,dark,bright,dim,code,blocks.3.hook_resid_pre,3,7.456315994262695,7.039393424987793,7.098257064819336,-2.1723873376846314,0.14118602871894836,-22.09470400869217,9.270644402503967,True,10
qwen25_15b_base,qwen25_15b_base,10,hard,soft,tough,field,blocks.3.hook_resid_pre,3,9.448055267333984,8.082523345947266,9.530928611755371,-0.7839613437652588,1.0606894493103027,-6.493062923573747,10.31488995552063,True,10
qwen25_15b_base,qwen25_15b_base,11,soft,hard,gentle,signal,blocks.3.hook_resid_pre,3,11.345891952514648,10.582443237304688,11.453547477722168,2.4614003181457518,1.1410120725631714,-10.637312968593463,8.992147159576415,True,10
qwen25_15b_base,qwen25_15b_base,12,strong,weak,powerful,letter,blocks.3.hook_resid_pre,3,9.656061172485352,8.856163024902344,9.76895809173584,-0.6424800634384156,1.1411391496658325,-11.874815708777545,10.411438155174256,True,10
qwen25_15b_base,qwen25_15b_base,13,weak,strong,frail,path,blocks.3.hook_resid_pre,3,14.195837020874023,12.489522933959961,14.129732131958008,2.719050073623657,0.9612586498260498,-5.726069388553543,11.41068205833435,True,10
qwen25_15b_base,qwen25_15b_base,14,old,new,aged,page,blocks.3.hook_resid_pre,3,14.574623107910156,9.29080581665039,14.12637710571289,2.5295355319976807,0.9151662588119507,-1.2796184863993831,11.59684157371521,True,10
qwen25_15b_base,qwen25_15b_base,15,new,old,fresh,marker,blocks.3.hook_resid_pre,3,10.033312797546387,8.323197364807129,10.257294654846191,0.23112022876739502,1.1309746503829956,-4.731889427532894,10.026174426078796,True,10
qwen25_15b_base,qwen25_15b_base,16,clean,dirty,neat,case,blocks.3.hook_resid_pre,3,11.770861625671387,11.655635833740234,11.539112091064453,-0.24892349243164064,-1.011264443397522,-103.31505756354336,11.788035583496093,True,10
qwen25_15b_base,qwen25_15b_base,17,dirty,clean,filthy,slot,blocks.3.hook_resid_pre,3,12.38015079498291,10.20120620727539,12.23560905456543,3.741731858253479,0.9336643218994141,-2.964496841940328,8.493877196311951,True,10
qwen25_15b_base,qwen25_15b_base,18,rich,poor,wealthy,key,blocks.3.hook_resid_pre,3,9.482012748718262,6.065448760986328,9.701824188232422,0.7267698764801025,1.0643370151519775,-1.5625871207669892,8.97505431175232,True,10
qwen25_15b_base,qwen25_15b_base,19,poor,rich,needy,word,blocks.3.hook_resid_pre,3,10.778328895568848,8.261961936950684,11.059967994689941,2.2972419261932373,1.1119228601455688,-2.370369707140372,8.762726068496704,True,10
qwen25_15b_base,qwen25_15b_base,20,safe,dangerous,secure,group,blocks.3.hook_resid_pre,3,9.238420486450195,7.740632057189941,9.090423583984375,-1.7924851894378662,0.9011896848678589,-6.364795628269167,10.88290877342224,True,10
qwen25_15b_base,qwen25_15b_base,21,dangerous,safe,risky,column,blocks.3.hook_resid_pre,3,10.432592391967773,7.039134979248047,10.789079666137695,3.1374017715454103,1.1050513982772827,-1.149781103212828,7.651677894592285,True,10
qwen25_15b_base,qwen25_15b_base,22,easy,hard,simple,image,blocks.3.hook_resid_pre,3,7.907116889953613,7.976080894470215,8.023662567138672,-1.1085390090942382,-0.6899493932723999,131.72987803191637,9.13220157623291,True,10
qwen25_15b_base,qwen25_15b_base,24,loud,quiet,noisy,slot,blocks.3.hook_resid_pre,3,7.715483665466309,6.685754776000977,7.572153091430664,2.784366488456726,0.860807478427887,-3.7887528721952974,4.787786602973938,True,10
qwen25_15b_base,qwen25_15b_base,25,quiet,loud,silent,record,blocks.3.hook_resid_pre,3,9.20207691192627,6.5422468185424805,9.311458587646484,-0.8911628246307373,1.0411235094070435,-2.7946934135618284,10.202621412277221,True,10
qwen25_15b_base,qwen25_15b_base,26,clear,confusing,plain,piece,blocks.3.hook_resid_pre,3,12.33932113647461,10.289478302001953,12.359646797180176,-2.2819425582885744,1.0099157094955444,-6.132870602991696,14.64158935546875,True,10
qwen25_15b_base,qwen25_15b_base,27,confusing,clear,unclear,letter,blocks.3.hook_resid_pre,3,9.021692276000977,7.0934553146362305,9.094441413879395,1.7410199880599975,1.0377283096313477,-2.7758182390549893,7.353421425819397,True,10
qwen25_15b_base,qwen25_15b_base,28,empty,full,vacant,map,blocks.3.hook_resid_pre,3,9.040450096130371,5.542851448059082,8.755380630493164,0.7409424781799316,0.9184956550598145,-1.372915949783749,8.014438152313232,True,10
qwen25_15b_base,qwen25_15b_base,29,full,empty,complete,view,blocks.3.hook_resid_pre,3,8.001910209655762,6.133519172668457,8.148582458496094,-1.0175770282745362,1.0785019397735596,-3.8274087486920347,9.16615948677063,True,10
qwen25_15b_base,qwen25_15b_base,31,light,dark,bright,object,blocks.3.hook_resid_pre,3,10.503399848937988,10.281180381774902,10.339159965515137,2.6226358890533445,0.26091137528419495,-34.46387749233952,7.716524076461792,True,10
qwen25_15b_base,qwen25_15b_base,32,narrow,wide,thin,entry,blocks.3.hook_resid_pre,3,11.2926025390625,9.902610778808594,11.393965721130371,0.5864665985107422,1.0729235410690308,-6.702301730620399,10.807499122619628,True,10
qwen25_15b_base,qwen25_15b_base,35,shallow,deep,superficial,number,blocks.3.hook_resid_pre,3,9.784741401672363,8.95218563079834,10.158273696899414,1.2364437103271484,1.4486573934555054,-9.267537611770015,8.921829986572266,True,10
qwen25_15b_base,qwen25_15b_base,37,far,near,distant,cell,blocks.3.hook_resid_pre,3,9.389680862426758,7.845461845397949,9.633103370666504,1.8768868446350098,1.1576347351074219,-3.8651091166115275,7.756216526031494,True,10
qwen25_15b_instruct,qwen25_15b_instruct,0,small,big,tiny,marker,blocks.15.hook_resid_pre,15,0.9435896873474121,-0.9969921112060547,2.994563102722168,-4.829048824310303,2.0568857192993164,-1.9746947621381947,7.823611927032471,True,10
qwen25_15b_instruct,qwen25_15b_instruct,2,hot,cold,warm,point,blocks.15.hook_resid_pre,15,4.715956687927246,-0.5522270202636719,6.222519874572754,0.21456708908081054,1.2859739065170288,0.145551892610024,6.007952785491943,True,10
qwen25_15b_instruct,qwen25_15b_instruct,3,cold,hot,chilly,node,blocks.15.hook_resid_pre,15,7.731784343719482,5.0466108322143555,7.3888139724731445,3.214935374259949,0.8722725510597229,-0.6821441706117878,4.173878598213196,True,10
qwen25_15b_instruct,qwen25_15b_instruct,5,sad,happy,unhappy,mark,blocks.15.hook_resid_pre,15,3.4967844486236572,2.635152816772461,6.001269817352295,0.4408476710319519,3.906677722930908,-2.5466859207873944,5.560422146320343,True,10
qwen25_15b_instruct,qwen25_15b_instruct,9,dark,bright,dim,note,blocks.15.hook_resid_pre,15,3.522038221359253,1.985783576965332,5.6556196212768555,-2.1335732102394105,2.388820171356201,-2.681428370118874,7.7891928315162655,True,10
qwen25_15b_instruct,qwen25_15b_instruct,13,weak,strong,frail,place,blocks.15.hook_resid_pre,15,3.295886993408203,0.04560565948486328,6.0461578369140625,0.6788744568824768,1.8461639881134033,0.1948350719022865,5.367283380031585,True,10
qwen25_15b_instruct,qwen25_15b_instruct,14,old,new,aged,cell,blocks.15.hook_resid_pre,15,11.173538208007812,3.025115966796875,6.430554389953613,-1.2561936616897582,0.4179261028766632,-0.5254157801044915,7.686748051643372,True,10
qwen25_15b_instruct,qwen25_15b_instruct,15,new,old,fresh,item,blocks.15.hook_resid_pre,15,10.364848136901855,0.9658527374267578,2.9839470386505127,-4.005259680747986,0.21471382677555084,-0.5288982712399629,6.989206719398498,True,10
qwen25_15b_instruct,qwen25_15b_instruct,17,dirty,clean,filthy,note,blocks.15.hook_resid_pre,15,7.479722499847412,1.2539024353027344,8.690827369689941,1.7085386753082275,1.194529414176941,0.07302431411318706,6.9822886943817135,True,10
qwen25_15b_instruct,qwen25_15b_instruct,19,poor,rich,needy,number,blocks.15.hook_resid_pre,15,6.321523189544678,3.6028642654418945,5.569920539855957,3.48522135913372,0.7235391736030579,-0.043272403634449674,2.084699180722237,True,10
qwen25_15b_instruct,qwen25_15b_instruct,21,dangerous,safe,risky,cell,blocks.15.hook_resid_pre,15,8.362508773803711,4.278730392456055,9.568022727966309,4.436579179763794,1.2951956987380981,0.03865263306860667,5.1314435482025145,True,10
qwen25_15b_instruct,qwen25_15b_instruct,24,loud,quiet,noisy,entry,blocks.15.hook_resid_pre,15,9.632678985595703,5.573264122009277,9.835854530334473,3.4310685992240906,1.0500504970550537,-0.527710420041324,6.404785931110382,True,10
qwen25_15b_instruct,qwen25_15b_instruct,25,quiet,loud,silent,field,blocks.15.hook_resid_pre,15,6.307910919189453,4.839617729187012,5.909621715545654,-6.809700155258179,0.7287399768829346,-7.933918078327273,12.719321870803833,True,10
qwen25_15b_instruct,qwen25_15b_instruct,26,clear,confusing,plain,number,blocks.15.hook_resid_pre,15,9.777856826782227,7.893925666809082,13.450969696044922,-3.995125722885132,2.949706554412842,-6.310767422023898,17.446095418930053,True,10
qwen25_15b_instruct,qwen25_15b_instruct,27,confusing,clear,unclear,word,blocks.15.hook_resid_pre,15,6.686044216156006,-7.486591339111328,4.193131446838379,-2.680858540534973,0.8241037726402283,0.33908531819276194,6.873989987373352,True,10
qwen25_15b_instruct,qwen25_15b_instruct,28,empty,full,vacant,path,blocks.15.hook_resid_pre,15,1.3001148700714111,-1.8500423431396484,-1.3111414909362793,-5.08977370262146,0.1710710972547531,-1.0284348177592844,3.7786322116851805,True,10
qwen25_15b_instruct,qwen25_15b_instruct,29,full,empty,complete,image,blocks.15.hook_resid_pre,15,10.280128479003906,5.991114616394043,13.635712623596191,3.8082035899162294,1.78236722946167,-0.5089540617967397,9.827509033679963,True,10
qwen25_15b_instruct,qwen25_15b_instruct,35,shallow,deep,superficial,signal,blocks.15.hook_resid_pre,15,3.572244644165039,-1.5766019821166992,1.6774568557739258,-2.971787142753601,0.6319976449012756,-0.27097042539883165,4.649243998527527,True,10
qwen25_15b_instruct,qwen25_15b_instruct,37,far,near,distant,page,blocks.15.hook_resid_pre,15,8.513886451721191,0.1072845458984375,6.3748931884765625,0.37719000577926637,0.7455579042434692,0.032106368649844286,5.997703182697296,True,10
qwen25_15b_instruct,qwen25_15b_instruct,38,young,old,youthful,label,blocks.15.hook_resid_pre,15,7.896060943603516,4.5253753662109375,6.253437519073486,-2.2294995546340943,0.5126737952232361,-2.0040062372327,8.48293707370758,True,10
qwen25_15b_instruct,qwen25_15b_instruct,42,open,closed,unlocked,phrase,blocks.15.hook_resid_pre,15,10.842547416687012,10.990849494934082,10.47706413269043,2.0672478079795837,3.464451551437378,60.1717912009826,8.409816324710846,True,10
qwen25_15b_instruct,qwen25_15b_instruct,43,closed,open,shut,rule,blocks.15.hook_resid_pre,15,9.286639213562012,5.529094696044922,10.967242240905762,0.7073414087295532,1.4472609758377075,-1.2832192046793067,10.259900832176209,True,10
qwen25_15b_instruct,qwen25_15b_instruct,45,cruel,kind,mean,page,blocks.15.hook_resid_pre,15,5.066211223602295,-0.3650531768798828,1.8887463808059692,-0.9771071180701256,0.41496771574020386,-0.11269087565243661,2.8658534988760946,True,10
qwen25_15b_instruct,qwen25_15b_instruct,47,calm,anxious,peaceful,thing,blocks.15.hook_resid_pre,15,12.885706901550293,12.805843353271484,11.425130844116211,-2.1460763216018677,-17.288394927978516,-187.2183242181436,13.571207165718079,True,10
qwen25_15b_instruct,qwen25_15b_instruct,49,honest,dishonest,truthful,note,blocks.15.hook_resid_pre,15,6.952249050140381,7.781802177429199,5.813106060028076,1.4703057289123536,2.3732006549835205,7.608308908610053,4.342800331115723,True,10
qwen25_15b_instruct,qwen25_15b_instruct,50,lazy,active,idle,piece,blocks.15.hook_resid_pre,15,8.587199211120605,-3.530604362487793,6.526251792907715,-1.5260692536830902,0.8299239873886108,0.16542066362343247,8.052321046590805,True,10
qwen25_15b_instruct,qwen25_15b_instruct,51,active,lazy,busy,letter,blocks.15.hook_resid_pre,15,6.3956122398376465,5.906100749969482,4.062417507171631,-3.52163987159729,-3.766373872756958,-19.25948791131719,7.584057378768921,True,10
qwen25_15b_instruct,qwen25_15b_instruct,52,complex,simple,complicated,set,blocks.15.hook_resid_pre,15,5.284477233886719,2.8078222274780273,6.954646110534668,-0.9588151931762695,1.6743648052215576,-1.5208567244560085,7.913461303710937,True,10
qwen25_15b_instruct,qwen25_15b_instruct,55,false,true,fake,marker,blocks.15.hook_resid_pre,15,5.441898822784424,-1.0223112106323242,4.605518341064453,2.1628363490104676,0.8706136345863342,0.49273577794922574,2.4426819920539855,True,10
qwen25_15b_instruct,qwen25_15b_instruct,56,thick,thin,dense,entry,blocks.15.hook_resid_pre,15,9.024317741394043,8.014510154724121,9.849200248718262,2.4043599367141724,1.816870927810669,-5.555662575789056,7.444840312004089,True,10
qwen25_15b_instruct,qwen25_15b_instruct,63,bad,good,poor,object,blocks.15.hook_resid_pre,15,4.622865200042725,0.7153387069702148,3.936582565307617,1.2678681790828705,0.8243690133094788,0.14140133741695982,2.668714386224747,True,10
qwen25_15b_instruct,qwen25_15b_instruct,64,wrong,right,incorrect,unit,blocks.15.hook_resid_pre,15,4.131417751312256,-11.230049133300781,4.1196513175964355,2.2100285649299622,0.9992340207099915,0.8749214760537001,1.9096227526664733,True,10
gemma2_2b_base,gemma2_2b_base,0,small,big,tiny,thing,blocks.12.hook_resid_mid,12,7.911781311035156,2.099459648132324,4.770815849304199,2.1651235580444337,0.4596022665500641,0.011297363380834487,2.6056922912597655,True,10
gemma2_2b_base,gemma2_2b_base,1,large,small,big,sign,blocks.12.hook_resid_mid,12,6.253056526184082,4.297301292419434,5.269466400146484,0.35605459213256835,0.49707913398742676,-2.0152044756134075,4.913411808013916,True,10
gemma2_2b_base,gemma2_2b_base,2,hot,cold,warm,point,blocks.12.hook_resid_mid,12,8.672128677368164,6.938841819763184,8.88669490814209,-1.525634527206421,1.1237915754318237,-4.8834826790677,10.41232943534851,True,10
gemma2_2b_base,gemma2_2b_base,3,cold,hot,chilly,node,blocks.12.hook_resid_mid,12,17.816896438598633,11.957763671875,19.101123809814453,11.924818420410157,1.2191839218139648,-0.005622888706661966,7.1763053894042965,True,10
gemma2_2b_base,gemma2_2b_base,4,happy,sad,glad,phrase,blocks.12.hook_resid_mid,12,8.788891792297363,5.115024566650391,9.842669486999512,3.859081840515137,1.2868306636810303,-0.3418584965095141,5.983587646484375,True,10
