valid_i,item_id,word,target,distractor,conflict_score,neutral_mean,effect,model_key
0,0,small,big,tiny,6.494362831115723,9.815203428268433,3.32084059715271,qwen25_15b_base
1,1,large,small,big,8.669569969177246,10.569082856178284,1.8995128870010376,qwen25_15b_base
2,2,hot,cold,warm,4.594486236572266,7.237938642501831,2.6434524059295654,qwen25_15b_base
3,3,cold,hot,chilly,9.978981018066406,12.201809525489807,2.222828507423401,qwen25_15b_base
4,4,happy,sad,glad,11.137323379516602,10.188695549964905,-0.9486278295516968,qwen25_15b_base
5,5,sad,happy,unhappy,7.745124816894531,8.742655396461487,0.9975305795669556,qwen25_15b_base
6,6,fast,slow,quick,8.393024444580078,8.897335767745972,0.5043113231658936,qwen25_15b_base
7,7,slow,fast,sluggish,11.971363067626953,13.400702714920044,1.4293396472930908,qwen25_15b_base
8,8,bright,dark,shiny,10.95973014831543,11.575507879257202,0.6157777309417725,qwen25_15b_base
9,9,dark,bright,dim,7.039393424987793,7.4113850593566895,0.3719916343688965,qwen25_15b_base
10,10,hard,soft,tough,8.082523345947266,9.455575227737427,1.3730518817901611,qwen25_15b_base
11,11,soft,hard,gentle,10.582443237304688,11.440088152885437,0.8576449155807495,qwen25_15b_base
12,12,strong,weak,powerful,8.856163024902344,9.276708006858826,0.42054498195648193,qwen25_15b_base
13,13,weak,strong,frail,12.489522933959961,14.041322588920593,1.5517996549606323,qwen25_15b_base
14,14,old,new,aged,9.29080581665039,14.558372378349304,5.267566561698914,qwen25_15b_base
15,15,new,old,fresh,8.323197364807129,10.01632273197174,1.6931253671646118,qwen25_15b_base
16,16,clean,dirty,neat,11.655635833740234,11.858846306800842,0.2032104730606079,qwen25_15b_base
17,17,dirty,clean,filthy,10.20120620727539,12.521031975746155,2.319825768470764,qwen25_15b_base
18,18,rich,poor,wealthy,6.065448760986328,9.602328658103943,3.5368798971176147,qwen25_15b_base
19,19,poor,rich,needy,8.261961936950684,11.142581582069397,2.8806196451187134,qwen25_15b_base
20,20,safe,dangerous,secure,7.740632057189941,9.106370091438293,1.365738034248352,qwen25_15b_base
21,21,dangerous,safe,risky,7.039134979248047,10.43088710308075,3.3917521238327026,qwen25_15b_base
22,22,easy,hard,simple,7.976080894470215,8.183019638061523,0.2069387435913086,qwen25_15b_base
23,23,difficult,easy,hard,9.15490436553955,8.531561255455017,-0.6233431100845337,qwen25_15b_base
24,24,loud,quiet,noisy,6.685754776000977,7.732945561408997,1.04719078540802,qwen25_15b_base
25,25,quiet,loud,silent,6.5422468185424805,8.833056569099426,2.290809750556946,qwen25_15b_base
26,26,clear,confusing,plain,10.289478302001953,12.3417249917984,2.0522466897964478,qwen25_15b_base
27,27,confusing,clear,unclear,7.0934553146362305,9.10152781009674,2.0080724954605103,qwen25_15b_base
28,28,empty,full,vacant,5.542851448059082,8.912391543388367,3.3695400953292847,qwen25_15b_base
29,29,full,empty,complete,6.133519172668457,8.02177369594574,1.8882545232772827,qwen25_15b_base
30,31,light,dark,bright,10.281180381774902,10.385311484336853,0.10413110256195068,qwen25_15b_base
31,32,narrow,wide,thin,9.902610778808594,10.812783360481262,0.9101725816726685,qwen25_15b_base
32,33,wide,narrow,broad,8.530963897705078,7.950120806694031,-0.5808430910110474,qwen25_15b_base
33,34,deep,shallow,profound,11.75401496887207,9.717901825904846,-2.036113142967224,qwen25_15b_base
34,35,shallow,deep,superficial,8.95218563079834,9.812881708145142,0.8606960773468018,qwen25_15b_base
35,36,near,far,close,7.511439323425293,6.777863621711731,-0.733575701713562,qwen25_15b_base
36,37,far,near,distant,7.845461845397949,9.523723840713501,1.6782619953155518,qwen25_15b_base
37,38,young,old,youthful,8.836586952209473,12.747132420539856,3.9105454683303833,qwen25_15b_base
38,39,rough,smooth,coarse,8.697169303894043,9.61878526210785,0.9216159582138062,qwen25_15b_base
39,40,smooth,rough,sleek,10.730779647827148,14.04863953590393,3.3178598880767822,qwen25_15b_base
40,41,wet,dry,damp,7.942139625549316,7.756017804145813,-0.18612182140350342,qwen25_15b_base
41,42,open,closed,unlocked,13.86151123046875,13.299695611000061,-0.561815619468689,qwen25_15b_base
42,43,closed,open,shut,9.616316795349121,11.8904527425766,2.274135947227478,qwen25_15b_base
43,44,kind,cruel,nice,11.521041870117188,12.774728178977966,1.2536863088607788,qwen25_15b_base
44,45,cruel,kind,mean,7.581205368041992,8.727596402168274,1.1463910341262817,qwen25_15b_base
45,47,calm,anxious,peaceful,10.468320846557617,12.56964099407196,2.1013201475143433,qwen25_15b_base
46,48,anxious,calm,nervous,9.873489379882812,10.24124526977539,0.3677558898925781,qwen25_15b_base
47,49,honest,dishonest,truthful,9.00428295135498,9.739851951599121,0.7355690002441406,qwen25_15b_base
48,50,lazy,active,idle,7.259320259094238,11.040814638137817,3.781494379043579,qwen25_15b_base
49,51,active,lazy,busy,8.542110443115234,8.44170331954956,-0.10040712356567383,qwen25_15b_base
50,52,complex,simple,complicated,6.791672706604004,9.136622548103333,2.3449498414993286,qwen25_15b_base
51,53,cheap,expensive,inexpensive,6.751936912536621,6.544400691986084,-0.2075362205505371,qwen25_15b_base
52,54,expensive,cheap,costly,7.43034553527832,7.206937789916992,-0.22340774536132812,qwen25_15b_base
53,55,false,true,fake,7.394248008728027,8.710042834281921,1.315794825553894,qwen25_15b_base
54,56,thick,thin,dense,9.564885139465332,11.562507629394531,1.9976224899291992,qwen25_15b_base
55,57,thin,thick,slim,9.835147857666016,10.539713621139526,0.7045657634735107,qwen25_15b_base
56,58,sharp,dull,pointed,12.124372482299805,13.552871584892273,1.4284991025924683,qwen25_15b_base
57,59,dull,sharp,blunt,9.084386825561523,8.244117975234985,-0.8402688503265381,qwen25_15b_base
58,61,smart,stupid,clever,5.253568649291992,6.964750170707703,1.7111815214157104,qwen25_15b_base
59,62,stupid,smart,dumb,7.617562294006348,8.900611877441406,1.2830495834350586,qwen25_15b_base
60,63,bad,good,poor,8.928474426269531,10.397012710571289,1.4685382843017578,qwen25_15b_base
61,64,wrong,right,incorrect,6.968047142028809,12.61720061302185,5.649153470993042,qwen25_15b_base
0,0,small,big,tiny,-0.9969921112060547,0.7415632009506226,1.7385553121566772,qwen25_15b_instruct
1,1,large,small,big,11.258896827697754,8.40157613158226,-2.8573206961154938,qwen25_15b_instruct
2,2,hot,cold,warm,-0.5522270202636719,4.526478886604309,5.078705906867981,qwen25_15b_instruct
3,3,cold,hot,chilly,5.0466108322143555,7.678801119327545,2.6321902871131897,qwen25_15b_instruct
4,4,happy,sad,glad,11.893040657043457,5.011510789394379,-6.881529867649078,qwen25_15b_instruct
5,5,sad,happy,unhappy,2.635152816772461,3.763359159231186,1.128206342458725,qwen25_15b_instruct
6,6,fast,slow,quick,10.703767776489258,4.828985143452883,-5.874782633036375,qwen25_15b_instruct
7,7,slow,fast,sluggish,7.818681716918945,6.52048596739769,-1.2981957495212555,qwen25_15b_instruct
8,8,bright,dark,shiny,10.677803039550781,5.33268204331398,-5.345120996236801,qwen25_15b_instruct
9,9,dark,bright,dim,1.985783576965332,3.746794156730175,1.761010579764843,qwen25_15b_instruct
10,10,hard,soft,tough,7.490578651428223,3.438705652952194,-4.051872998476028,qwen25_15b_instruct
11,11,soft,hard,gentle,8.837549209594727,2.254202350974083,-6.583346858620644,qwen25_15b_instruct
12,12,strong,weak,powerful,4.615870475769043,4.474295258522034,-0.14157521724700928,qwen25_15b_instruct
13,13,weak,strong,frail,0.04560565948486328,4.297328174114227,4.251722514629364,qwen25_15b_instruct
14,14,old,new,aged,3.025115966796875,11.609230160713196,8.58411419391632,qwen25_15b_instruct
15,15,new,old,fresh,0.9658527374267578,10.305220186710358,9.3393674492836,qwen25_15b_instruct
16,16,clean,dirty,neat,14.880834579467773,3.8425514101982117,-11.038283169269562,qwen25_15b_instruct
17,17,dirty,clean,filthy,1.2539024353027344,7.270140051841736,6.0162376165390015,qwen25_15b_instruct
18,18,rich,poor,wealthy,4.788434982299805,4.132490411400795,-0.6559445708990097,qwen25_15b_instruct
19,19,poor,rich,needy,3.6028642654418945,5.8016815185546875,2.198817253112793,qwen25_15b_instruct
20,20,safe,dangerous,secure,8.029308319091797,6.791838705539703,-1.2374696135520935,qwen25_15b_instruct
21,21,dangerous,safe,risky,4.278730392456055,8.467493295669556,4.188762903213501,qwen25_15b_instruct
22,22,easy,hard,simple,9.75649356842041,1.4537103474140167,-8.302783221006393,qwen25_15b_instruct
23,23,difficult,easy,hard,15.400585174560547,3.9848331809043884,-11.415751993656158,qwen25_15b_instruct
24,24,loud,quiet,noisy,5.573264122009277,9.431088030338287,3.85782390832901,qwen25_15b_instruct
25,25,quiet,loud,silent,4.839617729187012,6.122326076030731,1.2827083468437195,qwen25_15b_instruct
26,26,clear,confusing,plain,7.893925666809082,10.023422122001648,2.129496455192566,qwen25_15b_instruct
27,27,confusing,clear,unclear,-7.486591339111328,6.636543273925781,14.12313461303711,qwen25_15b_instruct
28,28,empty,full,vacant,-1.8500423431396484,0.9494725614786148,2.7995149046182632,qwen25_15b_instruct
29,29,full,empty,complete,5.991114616394043,10.34487110376358,4.353756487369537,qwen25_15b_instruct
30,31,light,dark,bright,12.334426879882812,8.001833461225033,-4.33259341865778,qwen25_15b_instruct
31,32,narrow,wide,thin,8.666138648986816,4.641537889838219,-4.024600759148598,qwen25_15b_instruct
32,33,wide,narrow,broad,12.392454147338867,11.306806713342667,-1.0856474339962006,qwen25_15b_instruct
33,34,deep,shallow,profound,13.845428466796875,7.4897595047950745,-6.3556689620018005,qwen25_15b_instruct
34,35,shallow,deep,superficial,-1.5766019821166992,2.8806312680244446,4.457233250141144,qwen25_15b_instruct
35,36,near,far,close,5.538984298706055,0.20933863520622253,-5.329645663499832,qwen25_15b_instruct
36,37,far,near,distant,0.1072845458984375,8.480662226676941,8.373377680778503,qwen25_15b_instruct
37,38,young,old,youthful,4.5253753662109375,8.0841623544693,3.558786988258362,qwen25_15b_instruct
38,39,rough,smooth,coarse,4.260196685791016,3.1140827536582947,-1.146113932132721,qwen25_15b_instruct
39,40,smooth,rough,sleek,8.635982513427734,7.4982959777116776,-1.1376865357160568,qwen25_15b_instruct
40,41,wet,dry,damp,6.375800132751465,5.198519706726074,-1.1772804260253906,qwen25_15b_instruct
41,42,open,closed,unlocked,10.990849494934082,11.22703218460083,0.23618268966674805,qwen25_15b_instruct
42,43,closed,open,shut,5.529094696044922,8.968049764633179,3.438955068588257,qwen25_15b_instruct
43,44,kind,cruel,nice,15.34746265411377,13.243369102478027,-2.104093551635742,qwen25_15b_instruct
44,45,cruel,kind,mean,-0.3650531768798828,4.644780248403549,5.009833425283432,qwen25_15b_instruct
45,47,calm,anxious,peaceful,12.805843353271484,13.105854213237762,0.3000108599662781,qwen25_15b_instruct
46,48,anxious,calm,nervous,8.715383529663086,2.628950834274292,-6.086432695388794,qwen25_15b_instruct
47,49,honest,dishonest,truthful,7.781802177429199,8.35249400138855,0.5706918239593506,qwen25_15b_instruct
48,50,lazy,active,idle,-3.530604362487793,8.713816702365875,12.244421064853668,qwen25_15b_instruct
49,51,active,lazy,busy,5.906100749969482,7.063178241252899,1.1570774912834167,qwen25_15b_instruct
50,52,complex,simple,complicated,2.8078222274780273,5.814812362194061,3.006990134716034,qwen25_15b_instruct
51,53,cheap,expensive,inexpensive,8.485305786132812,3.4344766438007355,-5.050829142332077,qwen25_15b_instruct
52,54,expensive,cheap,costly,5.079011917114258,2.7222881615161896,-2.3567237555980682,qwen25_15b_instruct
53,55,false,true,fake,-1.0223112106323242,4.942097425460815,5.96440863609314,qwen25_15b_instruct
54,56,thick,thin,dense,8.014510154724121,9.044387742877007,1.0298775881528854,qwen25_15b_instruct
55,57,thin,thick,slim,4.938726425170898,4.364415198564529,-0.574311226606369,qwen25_15b_instruct
56,58,sharp,dull,pointed,11.879990577697754,5.43298414349556,-6.447006434202194,qwen25_15b_instruct
57,59,dull,sharp,blunt,5.96912956237793,4.894414812326431,-1.0747147500514984,qwen25_15b_instruct
58,61,smart,stupid,clever,1.5244626998901367,1.353271245956421,-0.17119145393371582,qwen25_15b_instruct
59,62,stupid,smart,dumb,4.349567413330078,2.971781685948372,-1.3777857273817062,qwen25_15b_instruct
60,63,bad,good,poor,0.7153387069702148,4.721908390522003,4.006569683551788,qwen25_15b_instruct
61,64,wrong,right,incorrect,-11.230049133300781,3.331860437989235,14.561909571290016,qwen25_15b_instruct
0,0,small,big,tiny,2.0994749069213867,8.338074088096619,6.238599181175232,gemma2_2b_base
1,1,large,small,big,4.297360420227051,6.460320472717285,2.1629600524902344,gemma2_2b_base
2,2,hot,cold,warm,6.938845634460449,8.493894517421722,1.5550488829612732,gemma2_2b_base
3,3,cold,hot,chilly,11.957740783691406,17.85696768760681,5.899226903915405,gemma2_2b_base
4,4,happy,sad,glad,5.115096092224121,8.955356299877167,3.8402602076530457,gemma2_2b_base
5,5,sad,happy,unhappy,4.310328483581543,7.586342453956604,3.276013970375061,gemma2_2b_base
6,6,fast,slow,quick,3.252960205078125,4.282285451889038,1.029325246810913,gemma2_2b_base
7,7,slow,fast,sluggish,9.242731094360352,14.46138620376587,5.218655109405518,gemma2_2b_base
8,8,bright,dark,shiny,9.087156295776367,8.3341064453125,-0.7530498504638672,gemma2_2b_base
9,9,dark,bright,dim,2.304009437561035,5.7795515060424805,3.4755420684814453,gemma2_2b_base
10,10,hard,soft,tough,4.171236038208008,11.55483365058899,7.3835976123809814,gemma2_2b_base
11,11,soft,hard,gentle,7.3070831298828125,15.602622151374817,8.295539021492004,gemma2_2b_base
12,12,strong,weak,powerful,5.1527862548828125,7.763967156410217,2.611180901527405,gemma2_2b_base
13,13,weak,strong,frail,8.847139358520508,9.311195313930511,0.46405595541000366,gemma2_2b_base
14,14,old,new,aged,11.267925262451172,20.10719656944275,8.839271306991577,gemma2_2b_base
15,15,new,old,fresh,6.116232872009277,7.168744444847107,1.0525115728378296,gemma2_2b_base
16,16,clean,dirty,neat,3.126953125,2.549503266811371,-0.5774498581886292,gemma2_2b_base
17,17,dirty,clean,filthy,7.232073783874512,12.173450469970703,4.941376686096191,gemma2_2b_base
18,18,rich,poor,wealthy,3.06539249420166,10.281394064426422,7.216001570224762,gemma2_2b_base
19,19,poor,rich,needy,9.863818168640137,12.547051310539246,2.683233141899109,gemma2_2b_base
20,20,safe,dangerous,secure,-0.3438892364501953,2.0250942707061768,2.368983507156372,gemma2_2b_base
21,21,dangerous,safe,risky,2.361339569091797,5.227771461009979,2.8664318919181824,gemma2_2b_base
22,22,easy,hard,simple,2.2641220092773438,6.859697580337524,4.595575571060181,gemma2_2b_base
23,23,difficult,easy,hard,3.0176467895507812,5.871944308280945,2.8542975187301636,gemma2_2b_base
24,24,loud,quiet,noisy,4.840986251831055,6.324036538600922,1.483050286769867,gemma2_2b_base
25,25,quiet,loud,silent,5.110994338989258,6.625029563903809,1.5140352249145508,gemma2_2b_base
26,26,clear,confusing,plain,-3.048703193664551,-0.7035690546035767,2.345134139060974,gemma2_2b_base
27,27,confusing,clear,unclear,3.1773557662963867,7.967207670211792,4.789851903915405,gemma2_2b_base
28,28,empty,full,vacant,9.65048885345459,15.553641676902771,5.903152823448181,gemma2_2b_base
29,29,full,empty,complete,7.398379325866699,5.492762923240662,-1.9056164026260376,gemma2_2b_base
