model_key,perm,matched_recovery,random_recovery
qwen25_15b_base,0,0.9949131364139101,-3.880404431227635
qwen25_15b_base,1,0.9949131364139101,-4.257704220402116
qwen25_15b_base,2,0.9949131364139101,-4.377293922582888
qwen25_15b_base,3,0.9949131364139101,-3.8639438666780226
qwen25_15b_base,4,0.9949131364139101,-4.1342796858999575
qwen25_15b_base,5,0.9949131364139101,-4.447139187307206
qwen25_15b_base,6,0.9949131364139101,-3.3509132287786194
qwen25_15b_base,7,0.9949131364139101,-3.6521319628725246
qwen25_15b_base,8,0.9949131364139101,-4.00537829163966
qwen25_15b_base,9,0.9949131364139101,-3.7712513016926446
qwen25_15b_base,10,0.9949131364139101,-3.6867961902081334
qwen25_15b_base,11,0.9949131364139101,-3.71028415126297
qwen25_15b_base,12,0.9949131364139101,-4.541011934864325
qwen25_15b_base,13,0.9949131364139101,-4.185381386607806
qwen25_15b_base,14,0.9949131364139101,-4.2172617371653045
qwen25_15b_base,15,0.9949131364139101,-4.43626669194531
qwen25_15b_base,16,0.9949131364139101,-4.3740409145989005
qwen25_15b_base,17,0.9949131364139101,-4.107226602250582
qwen25_15b_base,18,0.9949131364139101,-3.8230448722288752
qwen25_15b_base,19,0.9949131364139101,-3.574192208709317
qwen25_15b_base,20,0.9949131364139101,-4.473680398049604
qwen25_15b_base,21,0.9949131364139101,-3.7287694147089163
qwen25_15b_base,22,0.9949131364139101,-4.031582122203354
qwen25_15b_base,23,0.9949131364139101,-4.214665595581665
qwen25_15b_base,24,0.9949131364139101,-4.139559835772272
qwen25_15b_base,25,0.9949131364139101,-4.103399282236162
qwen25_15b_base,26,0.9949131364139101,-4.197339794042388
qwen25_15b_base,27,0.9949131364139101,-4.186475222416301
qwen25_15b_base,28,0.9949131364139101,-4.434513506241116
qwen25_15b_base,29,0.9949131364139101,-3.744854304221043
qwen25_15b_base,30,0.9949131364139101,-4.358185099287117
qwen25_15b_base,31,0.9949131364139101,-4.3051352936640095
qwen25_15b_base,32,0.9949131364139101,-4.904368767194102
qwen25_15b_base,33,0.9949131364139101,-4.340787760291204
qwen25_15b_base,34,0.9949131364139101,-4.624059691102806
qwen25_15b_base,35,0.9949131364139101,-4.064693885684756
qwen25_15b_base,36,0.9949131364139101,-4.277483623682435
qwen25_15b_base,37,0.9949131364139101,-4.724999340861148
qwen25_15b_base,38,0.9949131364139101,-4.052830175100364
qwen25_15b_base,39,0.9949131364139101,-3.8983156981429885
qwen25_15b_base,40,0.9949131364139101,-4.007534694664543
qwen25_15b_base,41,0.9949131364139101,-4.566439640088698
qwen25_15b_base,42,0.9949131364139101,-4.594052053789687
qwen25_15b_base,43,0.9949131364139101,-3.973752140154783
qwen25_15b_base,44,0.9949131364139101,-4.249411976517125
qwen25_15b_base,45,0.9949131364139101,-4.190290858277916
qwen25_15b_base,46,0.9949131364139101,-4.739040995861426
qwen25_15b_base,47,0.9949131364139101,-4.6258988931481175
qwen25_15b_base,48,0.9949131364139101,-4.076500354366008
qwen25_15b_base,49,0.9949131364139101,-3.8181828555716435
qwen25_15b_instruct,0,0.9177232024697646,-0.5858182300205904
qwen25_15b_instruct,1,0.9177232024697646,-0.5112047270460794
qwen25_15b_instruct,2,0.9177232024697646,-0.7315039571176702
qwen25_15b_instruct,3,0.9177232024697646,-0.5112969595599467
qwen25_15b_instruct,4,0.9177232024697646,-0.675116676112879
qwen25_15b_instruct,5,0.9177232024697646,-0.7541961849096191
qwen25_15b_instruct,6,0.9177232024697646,-0.4482743359137851
qwen25_15b_instruct,7,0.9177232024697646,-0.6486756825739673
qwen25_15b_instruct,8,0.9177232024697646,-0.5333733377298373
qwen25_15b_instruct,9,0.9177232024697646,-0.5808965544642892
qwen25_15b_instruct,10,0.9177232024697646,-0.5421407434214442
qwen25_15b_instruct,11,0.9177232024697646,-0.6013151465437557
qwen25_15b_instruct,12,0.9177232024697646,-0.7759777512965427
qwen25_15b_instruct,13,0.9177232024697646,-0.4509514866736137
qwen25_15b_instruct,14,0.9177232024697646,-0.7839195206109264
qwen25_15b_instruct,15,0.9177232024697646,-0.652971384093123
qwen25_15b_instruct,16,0.9177232024697646,-0.8540863085017243
qwen25_15b_instruct,17,0.9177232024697646,-0.6235206880348173
qwen25_15b_instruct,18,0.9177232024697646,-0.625655104079356
qwen25_15b_instruct,19,0.9177232024697646,-0.6905906893512029
qwen25_15b_instruct,20,0.9177232024697646,-0.6693248768459216
qwen25_15b_instruct,21,0.9177232024697646,-0.746310397618141
qwen25_15b_instruct,22,0.9177232024697646,-0.8026400759296128
qwen25_15b_instruct,23,0.9177232024697646,-0.609893461129863
qwen25_15b_instruct,24,0.9177232024697646,-0.7549352967648982
qwen25_15b_instruct,25,0.9177232024697646,-0.7065069162291353
qwen25_15b_instruct,26,0.9177232024697646,-0.6832220078755595
qwen25_15b_instruct,27,0.9177232024697646,-0.5532189670506766
qwen25_15b_instruct,28,0.9177232024697646,-0.39653540558029976
qwen25_15b_instruct,29,0.9177232024697646,-0.6408977140779829
qwen25_15b_instruct,30,0.9177232024697646,-0.7562206587835726
qwen25_15b_instruct,31,0.9177232024697646,-0.5977249940655329
qwen25_15b_instruct,32,0.9177232024697646,-0.614358145829423
qwen25_15b_instruct,33,0.9177232024697646,-0.6454839250329392
qwen25_15b_instruct,34,0.9177232024697646,-0.8238209830113477
qwen25_15b_instruct,35,0.9177232024697646,-0.6598851516602293
qwen25_15b_instruct,36,0.9177232024697646,-0.8544135452734926
qwen25_15b_instruct,37,0.9177232024697646,-0.7367921676050962
qwen25_15b_instruct,38,0.9177232024697646,-0.6572926042609764
qwen25_15b_instruct,39,0.9177232024697646,-0.6736118610095614
qwen25_15b_instruct,40,0.9177232024697646,-0.7946030541790583
qwen25_15b_instruct,41,0.9177232024697646,-0.8760572991044444
qwen25_15b_instruct,42,0.9177232024697646,-0.6947673007689374
qwen25_15b_instruct,43,0.9177232024697646,-0.7090766216521907
qwen25_15b_instruct,44,0.9177232024697646,-0.6586404352810573
qwen25_15b_instruct,45,0.9177232024697646,-0.5967394206244725
qwen25_15b_instruct,46,0.9177232024697646,-0.6117332314487779
qwen25_15b_instruct,47,0.9177232024697646,-0.6219168539175871
qwen25_15b_instruct,48,0.9177232024697646,-0.44105829650699524
qwen25_15b_instruct,49,0.9177232024697646,-0.6166501595152394
gemma2_2b_base,0,1.0452273521196438,-0.48599641613250216
gemma2_2b_base,1,1.0452273521196438,-0.6391917084975965
gemma2_2b_base,2,1.0452273521196438,-0.6076257372062346
gemma2_2b_base,3,1.0452273521196438,-0.46389667893371117
gemma2_2b_base,4,1.0452273521196438,-0.5193266800034209
gemma2_2b_base,5,1.0452273521196438,-0.5494804704753533
gemma2_2b_base,6,1.0452273521196438,-0.337757405138104
gemma2_2b_base,7,1.0452273521196438,-0.5946723336866617
gemma2_2b_base,8,1.0452273521196438,-0.4191853326598925
gemma2_2b_base,9,1.0452273521196438,-0.32762684253285634
gemma2_2b_base,10,1.0452273521196438,-0.4466202957737184
gemma2_2b_base,11,1.0452273521196438,-0.6432751640191453
gemma2_2b_base,12,1.0452273521196438,-0.6410443371639984
gemma2_2b_base,13,1.0452273521196438,-0.775178181892981
gemma2_2b_base,14,1.0452273521196438,-0.6533947914144215
gemma2_2b_base,15,1.0452273521196438,-0.5253156513889478
gemma2_2b_base,16,1.0452273521196438,-0.5387229131447386
gemma2_2b_base,17,1.0452273521196438,-0.6179785857173792
gemma2_2b_base,18,1.0452273521196438,-0.6848646168980749
gemma2_2b_base,19,1.0452273521196438,-0.5082441818580045
gemma2_2b_base,20,1.0452273521196438,-0.5583406678277799
gemma2_2b_base,21,1.0452273521196438,-0.5402598834188561
gemma2_2b_base,22,1.0452273521196438,-0.6163442290444859
gemma2_2b_base,23,1.0452273521196438,-0.5521762948739297
gemma2_2b_base,24,1.0452273521196438,-0.6373810058064064
gemma2_2b_base,25,1.0452273521196438,-0.6261591472641225
gemma2_2b_base,26,1.0452273521196438,-0.7130651147432683
gemma2_2b_base,27,1.0452273521196438,-0.4524140861672135
gemma2_2b_base,28,1.0452273521196438,-0.3011788576549411
gemma2_2b_base,29,1.0452273521196438,-0.5912773481797667
gemma2_2b_base,30,1.0452273521196438,-0.687446749129155
gemma2_2b_base,31,1.0452273521196438,-0.6291904374920387
gemma2_2b_base,32,1.0452273521196438,-0.6806119907768857
gemma2_2b_base,33,1.0452273521196438,-0.45337410956075913
gemma2_2b_base,34,1.0452273521196438,-0.6942612278193823
gemma2_2b_base,35,1.0452273521196438,-0.6144346352376127
gemma2_2b_base,36,1.0452273521196438,-0.6219618194892774
gemma2_2b_base,37,1.0452273521196438,-0.6102663913194802
gemma2_2b_base,38,1.0452273521196438,-0.8042218614636758
gemma2_2b_base,39,1.0452273521196438,-0.44364215686921876
gemma2_2b_base,40,1.0452273521196438,-0.5792245977673602
gemma2_2b_base,41,1.0452273521196438,-0.5926814031277061
gemma2_2b_base,42,1.0452273521196438,-0.4968801095593985
gemma2_2b_base,43,1.0452273521196438,-0.6923374612600427
gemma2_2b_base,44,1.0452273521196438,-0.6637511816129676
gemma2_2b_base,45,1.0452273521196438,-0.6824678890010356
gemma2_2b_base,46,1.0452273521196438,-0.7278125049898774
gemma2_2b_base,47,1.0452273521196438,-0.49799759797557946
gemma2_2b_base,48,1.0452273521196438,-0.44928150568056646
gemma2_2b_base,49,1.0452273521196438,-0.6133801008152324
gemma2_2b_instruct,0,1.044810541782913,-2.337728090367984
gemma2_2b_instruct,1,1.044810541782913,-2.3210636845922403
gemma2_2b_instruct,2,1.044810541782913,-2.27638558203647
gemma2_2b_instruct,3,1.044810541782913,-2.396480391256512
gemma2_2b_instruct,4,1.044810541782913,-2.2265172242187417
gemma2_2b_instruct,5,1.044810541782913,-2.769923569234566
gemma2_2b_instruct,6,1.044810541782913,-1.812576635910875
gemma2_2b_instruct,7,1.044810541782913,-2.861566948910791
gemma2_2b_instruct,8,1.044810541782913,-2.140296633633657
gemma2_2b_instruct,9,1.044810541782913,-1.8634083760731492
gemma2_2b_instruct,10,1.044810541782913,-1.539944714251227
gemma2_2b_instruct,11,1.044810541782913,-1.7425412310707133
gemma2_2b_instruct,12,1.044810541782913,-2.271203334435706
gemma2_2b_instruct,13,1.044810541782913,-3.100234409338327
gemma2_2b_instruct,14,1.044810541782913,-2.4909531290495464
gemma2_2b_instruct,15,1.044810541782913,-2.6239956658993124
gemma2_2b_instruct,16,1.044810541782913,-2.3278304211146454
gemma2_2b_instruct,17,1.044810541782913,-3.042216761941554
gemma2_2b_instruct,18,1.044810541782913,-1.6769056906785005
gemma2_2b_instruct,19,1.044810541782913,-2.0427180792099606
gemma2_2b_instruct,20,1.044810541782913,-2.7288437951740643
gemma2_2b_instruct,21,1.044810541782913,-2.0119455233622454
gemma2_2b_instruct,22,1.044810541782913,-1.4447159885847543
gemma2_2b_instruct,23,1.044810541782913,-2.647835354745647
gemma2_2b_instruct,24,1.044810541782913,-1.8171690423976377
gemma2_2b_instruct,25,1.044810541782913,-1.770063830060488
gemma2_2b_instruct,26,1.044810541782913,-2.6925862123573228
gemma2_2b_instruct,27,1.044810541782913,-2.2206639122824
gemma2_2b_instruct,28,1.044810541782913,-1.9329979428055577
gemma2_2b_instruct,29,1.044810541782913,-2.107649238465373
gemma2_2b_instruct,30,1.044810541782913,-1.3309547230462575
gemma2_2b_instruct,31,1.044810541782913,-1.9290175142086445
gemma2_2b_instruct,32,1.044810541782913,-2.3775503267086227
gemma2_2b_instruct,33,1.044810541782913,-2.1294196527672504
gemma2_2b_instruct,34,1.044810541782913,-2.0723804285355123
gemma2_2b_instruct,35,1.044810541782913,-2.82706296249331
gemma2_2b_instruct,36,1.044810541782913,-2.5284849021723126
gemma2_2b_instruct,37,1.044810541782913,-2.4236015698886035
gemma2_2b_instruct,38,1.044810541782913,-2.304229213117439
gemma2_2b_instruct,39,1.044810541782913,-3.010614763104658
gemma2_2b_instruct,40,1.044810541782913,-1.9175250063118183
gemma2_2b_instruct,41,1.044810541782913,-2.3549874958381904
gemma2_2b_instruct,42,1.044810541782913,-2.044927579693637
gemma2_2b_instruct,43,1.044810541782913,-3.0741437466959676
gemma2_2b_instruct,44,1.044810541782913,-2.608933345898128
gemma2_2b_instruct,45,1.044810541782913,-2.254068427979074
gemma2_2b_instruct,46,1.044810541782913,-2.0230384087294753
gemma2_2b_instruct,47,1.044810541782913,-2.2641851996809974
gemma2_2b_instruct,48,1.044810541782913,-1.9984164553451156
gemma2_2b_instruct,49,1.044810541782913,-2.6107174193209994
olmo_1b_base,0,1.0593011043678375,-1.0579533486411972
olmo_1b_base,1,1.0593011043678375,-1.2154304480234266
olmo_1b_base,2,1.0593011043678375,-1.241308219906526
olmo_1b_base,3,1.0593011043678375,-1.1633368398425419
olmo_1b_base,4,1.0593011043678375,-1.2436278122606528
olmo_1b_base,5,1.0593011043678375,-1.1829312953888174
olmo_1b_base,6,1.0593011043678375,-0.8712653637658246
olmo_1b_base,7,1.0593011043678375,-1.1396745992600672
olmo_1b_base,8,1.0593011043678375,-0.9754883450454781
olmo_1b_base,9,1.0593011043678375,-0.9998906824843611
olmo_1b_base,10,1.0593011043678375,-1.039420350799561
olmo_1b_base,11,1.0593011043678375,-0.8943773781291244
olmo_1b_base,12,1.0593011043678375,-1.2059892894801383
olmo_1b_base,13,1.0593011043678375,-1.1712936397060623
olmo_1b_base,14,1.0593011043678375,-1.0163406986858787
olmo_1b_base,15,1.0593011043678375,-0.9656795516961253
olmo_1b_base,16,1.0593011043678375,-1.0554496295946996
olmo_1b_base,17,1.0593011043678375,-1.1678992139758617
olmo_1b_base,18,1.0593011043678375,-1.336134025820348
olmo_1b_base,19,1.0593011043678375,-1.178416867415031
olmo_1b_base,20,1.0593011043678375,-1.3643917874193099
olmo_1b_base,21,1.0593011043678375,-1.248100942096297
olmo_1b_base,22,1.0593011043678375,-1.1826416762693643
olmo_1b_base,23,1.0593011043678375,-1.1144186863665104
olmo_1b_base,24,1.0593011043678375,-1.2469817905197778
olmo_1b_base,25,1.0593011043678375,-1.0608785363181623
olmo_1b_base,26,1.0593011043678375,-1.2016895529771754
olmo_1b_base,27,1.0593011043678375,-1.1484639652380924
olmo_1b_base,28,1.0593011043678375,-0.9609396056680374
olmo_1b_base,29,1.0593011043678375,-1.3194944730335043
olmo_1b_base,30,1.0593011043678375,-1.31264926973534
olmo_1b_base,31,1.0593011043678375,-1.1759136144874738
olmo_1b_base,32,1.0593011043678375,-1.2383790760450522
olmo_1b_base,33,1.0593011043678375,-1.2178741328925298
olmo_1b_base,34,1.0593011043678375,-1.381581525639921
olmo_1b_base,35,1.0593011043678375,-1.2142426604328955
olmo_1b_base,36,1.0593011043678375,-1.1523057816383475
olmo_1b_base,37,1.0593011043678375,-1.2248882266201926
olmo_1b_base,38,1.0593011043678375,-1.2048781308723704
olmo_1b_base,39,1.0593011043678375,-1.0018569401730901
olmo_1b_base,40,1.0593011043678375,-1.0626047427524525
olmo_1b_base,41,1.0593011043678375,-1.2302760449590362
olmo_1b_base,42,1.0593011043678375,-1.1857271622500214
olmo_1b_base,43,1.0593011043678375,-1.1687623205917907
olmo_1b_base,44,1.0593011043678375,-1.2620202228033
olmo_1b_base,45,1.0593011043678375,-1.3367613461701453
olmo_1b_base,46,1.0593011043678375,-1.127205649579083
olmo_1b_base,47,1.0593011043678375,-1.3351567045266597
olmo_1b_base,48,1.0593011043678375,-1.1358447562901004
olmo_1b_base,49,1.0593011043678375,-1.1666903597513754
